Months Since Launch,Sum of TotalUnitsSold
1,18578.00
2,28861.00
3,20164.00
4,22163.00
5,10105.00
6,6615.00
7,4989.00
8,3607.00
9,2684.00
10,2129.00
11,4187.00
12,11125.00
13,37500.00
14,24495.00
15,23043.00
16,32970.00
17,22396.00
18,5274.00
19,5702.00
20,9616.00
21,8831.00
22,9350.00
23,17045.00
24,57059.00
25,60386.00
26,44407.00
27,55889.00
28,38051.00
29,19139.00
30,15754.00
31,10848.00
32,16139.00
33,10896.00
34,26302.00
35,16301.00
36,68998.00
37,55140.00
