SubmissionDate - Year,YearQtr,YearMonth,Rating,Rating Count,Average of IsPositive
2018,2018 Qtr 2,2018 06,5,2,100%
2018,2018 Qtr 3,2018 07,4,1,100%
2018,2018 Qtr 3,2018 07,5,10,100%
2018,2018 Qtr 3,2018 08,1,1,0%
2018,2018 Qtr 3,2018 08,3,2,0%
2018,2018 Qtr 3,2018 08,5,9,100%
2018,2018 Qtr 3,2018 09,5,6,100%
2018,2018 Qtr 4,2018 10,1,1,0%
2018,2018 Qtr 4,2018 10,3,1,0%
2018,2018 Qtr 4,2018 10,4,2,100%
2018,2018 Qtr 4,2018 10,5,3,100%
2018,2018 Qtr 4,2018 11,4,2,100%
2018,2018 Qtr 4,2018 11,5,8,100%
2018,2018 Qtr 4,2018 12,3,3,0%
2018,2018 Qtr 4,2018 12,4,2,100%
2018,2018 Qtr 4,2018 12,5,17,100%
2019,2019 Qtr 1,2019 01,1,1,0%
2019,2019 Qtr 1,2019 01,4,2,100%
2019,2019 Qtr 1,2019 01,5,11,100%
2019,2019 Qtr 1,2019 02,1,1,0%
2019,2019 Qtr 1,2019 02,3,1,0%
2019,2019 Qtr 1,2019 02,4,1,100%
2019,2019 Qtr 1,2019 02,5,26,100%
2019,2019 Qtr 1,2019 03,1,1,0%
2019,2019 Qtr 1,2019 03,2,1,0%
2019,2019 Qtr 1,2019 03,5,13,100%
2019,2019 Qtr 2,2019 04,4,1,100%
2019,2019 Qtr 2,2019 04,5,7,100%
2019,2019 Qtr 2,2019 05,4,1,100%
2019,2019 Qtr 2,2019 05,5,7,100%
2019,2019 Qtr 2,2019 06,2,1,0%
2019,2019 Qtr 2,2019 06,3,2,0%
2019,2019 Qtr 2,2019 06,4,4,100%
2019,2019 Qtr 2,2019 06,5,22,100%
2019,2019 Qtr 3,2019 07,1,1,0%
2019,2019 Qtr 3,2019 07,2,1,0%
2019,2019 Qtr 3,2019 07,5,32,100%
2019,2019 Qtr 3,2019 08,1,2,0%
2019,2019 Qtr 3,2019 08,2,1,0%
2019,2019 Qtr 3,2019 08,3,3,0%
2019,2019 Qtr 3,2019 08,4,19,100%
2019,2019 Qtr 3,2019 08,5,93,100%
2019,2019 Qtr 3,2019 09,1,1,0%
2019,2019 Qtr 3,2019 09,4,5,100%
2019,2019 Qtr 3,2019 09,5,16,100%
2019,2019 Qtr 4,2019 10,1,1,0%
2019,2019 Qtr 4,2019 10,2,1,0%
2019,2019 Qtr 4,2019 10,3,1,0%
2019,2019 Qtr 4,2019 10,4,3,100%
2019,2019 Qtr 4,2019 10,5,21,100%
2019,2019 Qtr 4,2019 11,1,2,0%
2019,2019 Qtr 4,2019 11,4,2,100%
2019,2019 Qtr 4,2019 11,5,21,100%
2019,2019 Qtr 4,2019 12,4,6,100%
2019,2019 Qtr 4,2019 12,5,70,100%
2020,2020 Qtr 1,2020 01,1,3,0%
2020,2020 Qtr 1,2020 01,2,2,0%
2020,2020 Qtr 1,2020 01,3,1,0%
2020,2020 Qtr 1,2020 01,4,12,100%
2020,2020 Qtr 1,2020 01,5,77,100%
2020,2020 Qtr 1,2020 02,4,6,100%
2020,2020 Qtr 1,2020 02,5,69,100%
2020,2020 Qtr 1,2020 03,4,2,100%
2020,2020 Qtr 1,2020 03,5,22,100%
2020,2020 Qtr 2,2020 04,1,1,0%
2020,2020 Qtr 2,2020 04,4,4,100%
2020,2020 Qtr 2,2020 04,5,26,100%
2020,2020 Qtr 2,2020 05,1,1,0%
2020,2020 Qtr 2,2020 05,3,1,0%
2020,2020 Qtr 2,2020 05,4,1,100%
2020,2020 Qtr 2,2020 05,5,23,100%
2020,2020 Qtr 2,2020 06,1,3,0%
2020,2020 Qtr 2,2020 06,2,1,0%
2020,2020 Qtr 2,2020 06,3,1,0%
2020,2020 Qtr 2,2020 06,4,7,100%
2020,2020 Qtr 2,2020 06,5,47,100%
2020,2020 Qtr 3,2020 07,1,1,0%
2020,2020 Qtr 3,2020 07,2,1,0%
2020,2020 Qtr 3,2020 07,4,5,100%
2020,2020 Qtr 3,2020 07,5,28,100%
2020,2020 Qtr 3,2020 08,2,1,0%
2020,2020 Qtr 3,2020 08,4,4,100%
2020,2020 Qtr 3,2020 08,5,18,100%
2020,2020 Qtr 3,2020 09,4,2,100%
2020,2020 Qtr 3,2020 09,5,9,100%
2020,2020 Qtr 4,2020 10,2,1,0%
2020,2020 Qtr 4,2020 10,4,2,100%
2020,2020 Qtr 4,2020 10,5,12,100%
2020,2020 Qtr 4,2020 11,2,1,0%
